"filename", "language", "JavaScript", "JSON", "SQL", "Prisma", "comment", "blank", "total"
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\middlewares\CronJobs.js", "JavaScript", 43, 0, 0, 0, 6, 3, 52
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\middlewares\EnquiryAuth.js", "JavaScript", 34, 0, 0, 0, 18, 3, 55
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\middlewares\ErrorHandler.js", "JavaScript", 10, 0, 0, 0, 13, 4, 27
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\middlewares\PaymentPlanAuth.js", "JavaScript", 82, 0, 0, 0, 0, 5, 87
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\middlewares\RoleResourcesAuth.js", "JavaScript", 35, 0, 0, 0, 0, 3, 38
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\middlewares\UserAuth.js", "JavaScript", 28, 0, 0, 0, 0, 4, 32
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\middlewares\announcementAuth.js", "JavaScript", 17, 0, 0, 0, 0, 4, 21
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\middlewares\applicationAuth.js", "JavaScript", 47, 0, 0, 0, 0, 3, 50
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\middlewares\credentials.js", "JavaScript", 16, 0, 0, 0, 0, 4, 20
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\middlewares\fileAuth.js", "JavaScript", 20, 0, 0, 0, 2, 2, 24
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\middlewares\imageAuth.js", "JavaScript", 36, 0, 0, 0, 4, 2, 42
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\middlewares\logEvents.js", "JavaScript", 32, 0, 0, 0, 1, 7, 40
"c:\Users\Kanaan\Desktop\Desktop 23-8-2023\ava\AVAMainWebsite\AVA\avawebsite-backend\middlewares\propertyAuth.js", "JavaScript", 41, 0, 0, 0, 0, 3, 44
